filename;class;repository
rotten_plum_424.png;rotten;train
bruised_plum_143.png;bruised;train
rotten_plum_488.png;rotten;train
spotted_plum_652.png;spotted;train
rotten_plum_369.png;rotten;train
rotten_plum_27.png;rotten;train
unaffected_plum_514.png;unaffected;train
unaffected_plum_1431.png;unaffected;train
unripe_plum_748.png;unripe;train
unaffected_plum_965.png;unaffected;train
unaffected_plum_43.png;unaffected;train
rotten_plum_527.png;rotten;train
bruised_plum_255.png;bruised;train
spotted_plum_603.png;spotted;train
unaffected_plum_385.png;unaffected;train
unaffected_plum_936.png;unaffected;train
unaffected_plum_53.png;unaffected;train
unripe_plum_419.png;unripe;train
unaffected_plum_248.png;unaffected;train
cracked_plum_25.png;cracked;train
unaffected_plum_1680.png;unaffected;train
unaffected_plum_1369.png;unaffected;train
rotten_plum_249.png;rotten;train
unripe_plum_200.png;unripe;train
rotten_plum_48.png;rotten;train
spotted_plum_697.png;spotted;train
rotten_plum_115.png;rotten;train
unaffected_plum_1307.png;unaffected;train
bruised_plum_191.png;bruised;train
unaffected_plum_1020.png;unaffected;train
rotten_plum_271.png;rotten;train
unaffected_plum_882.png;unaffected;train
unripe_plum_270.png;unripe;train
cracked_plum_71.png;cracked;train
unaffected_plum_147.png;unaffected;train
cracked_plum_92.png;cracked;train
unaffected_plum_1421.png;unaffected;train
unripe_plum_422.png;unripe;train
unripe_plum_169.png;unripe;train
unaffected_plum_1628.png;unaffected;train
rotten_plum_160.png;rotten;train
unaffected_plum_1145.png;unaffected;train
unaffected_plum_1648.png;unaffected;train
rotten_plum_632.png;rotten;train
bruised_plum_146.png;bruised;train
bruised_plum_24.png;bruised;train
rotten_plum_711.png;rotten;train
unaffected_plum_1290.png;unaffected;train
rotten_plum_705.png;rotten;train
rotten_plum_353.png;rotten;train
unaffected_plum_1508.png;unaffected;train
unaffected_plum_436.png;unaffected;train
unripe_plum_649.png;unripe;train
bruised_plum_83.png;bruised;train
unripe_plum_466.png;unripe;train
unripe_plum_6.png;unripe;train
rotten_plum_166.png;rotten;train
unaffected_plum_1096.png;unaffected;train
spotted_plum_150.png;spotted;train
rotten_plum_423.png;rotten;train
unaffected_plum_1598.png;unaffected;train
unaffected_plum_1205.png;unaffected;train
unaffected_plum_863.png;unaffected;train
unripe_plum_726.png;unripe;train
rotten_plum_708.png;rotten;train
unripe_plum_431.png;unripe;train
rotten_plum_248.png;rotten;train
unripe_plum_189.png;unripe;train
rotten_plum_283.png;rotten;train
rotten_plum_79.png;rotten;train
unaffected_plum_335.png;unaffected;train
unaffected_plum_205.png;unaffected;train
spotted_plum_540.png;spotted;train
spotted_plum_464.png;spotted;train
unaffected_plum_1569.png;unaffected;train
unripe_plum_363.png;unripe;train
rotten_plum_528.png;rotten;train
unripe_plum_509.png;unripe;train
unaffected_plum_716.png;unaffected;train
spotted_plum_248.png;spotted;train
unaffected_plum_159.png;unaffected;train
cracked_plum_74.png;cracked;train
unaffected_plum_329.png;unaffected;train
unaffected_plum_504.png;unaffected;train
unaffected_plum_994.png;unaffected;train
cracked_plum_69.png;cracked;train
unaffected_plum_432.png;unaffected;train
unaffected_plum_482.png;unaffected;train
bruised_plum_147.png;bruised;train
unaffected_plum_381.png;unaffected;train
rotten_plum_634.png;rotten;train
unaffected_plum_1420.png;unaffected;train
unripe_plum_709.png;unripe;train
unaffected_plum_1091.png;unaffected;train
unaffected_plum_925.png;unaffected;train
rotten_plum_592.png;rotten;train
bruised_plum_106.png;bruised;train
spotted_plum_123.png;spotted;train
unaffected_plum_153.png;unaffected;train
unaffected_plum_1556.png;unaffected;train
bruised_plum_249.png;bruised;train
rotten_plum_602.png;rotten;train
spotted_plum_695.png;spotted;train
unaffected_plum_847.png;unaffected;train
spotted_plum_523.png;spotted;train
spotted_plum_360.png;spotted;train
unaffected_plum_10.png;unaffected;train
unaffected_plum_15.png;unaffected;train
unaffected_plum_408.png;unaffected;train
unripe_plum_631.png;unripe;train
unaffected_plum_311.png;unaffected;train
rotten_plum_559.png;rotten;train
spotted_plum_432.png;spotted;train
unaffected_plum_1636.png;unaffected;train
bruised_plum_227.png;bruised;train
bruised_plum_63.png;bruised;train
unripe_plum_802.png;unripe;train
unaffected_plum_1178.png;unaffected;train
spotted_plum_553.png;spotted;train
unaffected_plum_1329.png;unaffected;train
rotten_plum_363.png;rotten;train
unaffected_plum_993.png;unaffected;train
spotted_plum_9.png;spotted;train
unaffected_plum_1201.png;unaffected;train
spotted_plum_472.png;spotted;train
rotten_plum_548.png;rotten;train
unaffected_plum_687.png;unaffected;train
unripe_plum_675.png;unripe;train
bruised_plum_11.png;bruised;train
rotten_plum_44.png;rotten;train
unaffected_plum_1311.png;unaffected;train
cracked_plum_155.png;cracked;train
unripe_plum_569.png;unripe;train
unaffected_plum_777.png;unaffected;train
spotted_plum_218.png;spotted;train
spotted_plum_367.png;spotted;train
bruised_plum_34.png;bruised;train
unaffected_plum_174.png;unaffected;train
unripe_plum_690.png;unripe;train
spotted_plum_313.png;spotted;train
spotted_plum_385.png;spotted;train
unripe_plum_446.png;unripe;train
cracked_plum_147.png;cracked;train
unaffected_plum_1496.png;unaffected;train
unripe_plum_353.png;unripe;train
unripe_plum_373.png;unripe;train
unripe_plum_119.png;unripe;train
bruised_plum_278.png;bruised;train
spotted_plum_101.png;spotted;train
unaffected_plum_1340.png;unaffected;train
unripe_plum_107.png;unripe;train
unaffected_plum_1084.png;unaffected;train
unaffected_plum_89.png;unaffected;train
unripe_plum_658.png;unripe;train
unaffected_plum_313.png;unaffected;train
rotten_plum_250.png;rotten;train
rotten_plum_376.png;rotten;train
rotten_plum_397.png;rotten;train
unripe_plum_456.png;unripe;train
unaffected_plum_306.png;unaffected;train
unaffected_plum_1553.png;unaffected;train
unripe_plum_795.png;unripe;train
spotted_plum_23.png;spotted;train
rotten_plum_72.png;rotten;train
spotted_plum_321.png;spotted;train
spotted_plum_331.png;spotted;train
spotted_plum_678.png;spotted;train
unaffected_plum_1690.png;unaffected;train
unaffected_plum_1095.png;unaffected;train
unripe_plum_797.png;unripe;train
unripe_plum_345.png;unripe;train
unripe_plum_333.png;unripe;train
unaffected_plum_512.png;unaffected;train
unaffected_plum_833.png;unaffected;train
spotted_plum_25.png;spotted;train
unaffected_plum_34.png;unaffected;train
spotted_plum_221.png;spotted;train
unaffected_plum_1350.png;unaffected;train
unaffected_plum_770.png;unaffected;train
rotten_plum_532.png;rotten;train
bruised_plum_180.png;bruised;train
spotted_plum_422.png;spotted;train
unaffected_plum_6.png;unaffected;train
unripe_plum_219.png;unripe;train
unripe_plum_332.png;unripe;train
unaffected_plum_217.png;unaffected;train
unaffected_plum_1449.png;unaffected;train
spotted_plum_716.png;spotted;train
unripe_plum_489.png;unripe;train
unripe_plum_331.png;unripe;train
spotted_plum_685.png;spotted;train
bruised_plum_23.png;bruised;train
unaffected_plum_761.png;unaffected;train
unaffected_plum_249.png;unaffected;train
unaffected_plum_202.png;unaffected;train
spotted_plum_452.png;spotted;train
unaffected_plum_751.png;unaffected;train
unripe_plum_171.png;unripe;train
unaffected_plum_825.png;unaffected;train
spotted_plum_154.png;spotted;train
unaffected_plum_610.png;unaffected;train
unripe_plum_486.png;unripe;train
unripe_plum_124.png;unripe;train
unaffected_plum_1482.png;unaffected;train
spotted_plum_42.png;spotted;train
unaffected_plum_291.png;unaffected;train
spotted_plum_536.png;spotted;train
unripe_plum_682.png;unripe;train
unaffected_plum_300.png;unaffected;train
cracked_plum_162.png;cracked;train
unaffected_plum_673.png;unaffected;train
cracked_plum_101.png;cracked;train
spotted_plum_660.png;spotted;train
unripe_plum_201.png;unripe;train
unaffected_plum_654.png;unaffected;train
bruised_plum_129.png;bruised;train
unaffected_plum_1386.png;unaffected;train
rotten_plum_330.png;rotten;train
spotted_plum_753.png;spotted;train
spotted_plum_550.png;spotted;train
unaffected_plum_966.png;unaffected;train
unaffected_plum_1200.png;unaffected;train
unripe_plum_527.png;unripe;train
bruised_plum_110.png;bruised;train
unaffected_plum_1003.png;unaffected;train
unaffected_plum_972.png;unaffected;train
spotted_plum_78.png;spotted;train
unripe_plum_789.png;unripe;train
unripe_plum_821.png;unripe;train
rotten_plum_538.png;rotten;train
bruised_plum_150.png;bruised;train
spotted_plum_418.png;spotted;train
unripe_plum_32.png;unripe;train
unaffected_plum_691.png;unaffected;train
unaffected_plum_32.png;unaffected;train
unripe_plum_372.png;unripe;train
unaffected_plum_520.png;unaffected;train
spotted_plum_518.png;spotted;train
unripe_plum_471.png;unripe;train
spotted_plum_727.png;spotted;train
unripe_plum_228.png;unripe;train
spotted_plum_384.png;spotted;train
spotted_plum_717.png;spotted;train
bruised_plum_203.png;bruised;train
spotted_plum_301.png;spotted;train
unripe_plum_749.png;unripe;train
unripe_plum_215.png;unripe;train
unripe_plum_224.png;unripe;train
rotten_plum_682.png;rotten;train
unripe_plum_816.png;unripe;train
unaffected_plum_1657.png;unaffected;train
unripe_plum_453.png;unripe;train
unaffected_plum_625.png;unaffected;train
spotted_plum_614.png;spotted;train
unripe_plum_241.png;unripe;train
spotted_plum_181.png;spotted;train
unaffected_plum_1174.png;unaffected;train
unaffected_plum_364.png;unaffected;train
unaffected_plum_1255.png;unaffected;train
unaffected_plum_177.png;unaffected;train
rotten_plum_523.png;rotten;train
unaffected_plum_741.png;unaffected;train
rotten_plum_311.png;rotten;train
unaffected_plum_290.png;unaffected;train
rotten_plum_168.png;rotten;train
rotten_plum_184.png;rotten;train
spotted_plum_462.png;spotted;train
unripe_plum_459.png;unripe;train
unaffected_plum_324.png;unaffected;train
unaffected_plum_1698.png;unaffected;train
cracked_plum_26.png;cracked;train
rotten_plum_22.png;rotten;train
cracked_plum_160.png;cracked;train
spotted_plum_370.png;spotted;train
spotted_plum_193.png;spotted;train
unripe_plum_606.png;unripe;train
bruised_plum_102.png;bruised;train
unaffected_plum_960.png;unaffected;train
rotten_plum_668.png;rotten;train
unaffected_plum_1374.png;unaffected;train
